,Unnecessary Copy,copyParticleData,computeMinMax,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
213,0.0213,0.292,0.2793,0.2999,0.2045,0.2157,0.2128,0.637,0.0002,0.0002,0.0713,0.1729,1.7651,1.7891,2.5036,0.3244,4.683
214,0.0195,0.2949,0.2886,0.3027,0.2096,0.2243,0.2139,0.6543,0.0002,0.0002,0.0686,0.1771,1.7981,1.8204,2.4889,0.3286,4.7058
215,0.0198,0.296,0.2775,0.3078,0.2037,0.1782,0.2107,0.5988,0.0002,0.0001,0.0757,0.1677,1.7332,1.7555,2.5081,0.3299,4.6583
216,0.0205,0.2375,0.2869,0.3316,0.2243,0.1907,0.2198,0.6421,0.0002,0.0001,0.0841,0.1917,1.7896,1.8144,4.1121,0.4743,6.4707
217,0.021,0.311,0.2931,0.3307,0.2035,0.2228,0.2163,0.649,0.0002,0.0002,0.0628,0.1786,1.8406,1.8643,2.689,0.3322,4.9541
218,0.0212,0.2949,0.2868,0.3118,0.2017,0.2218,0.213,0.6417,0.0002,0.0002,0.0676,0.1665,1.7802,1.8041,2.582,0.3302,4.786
219,0.0226,0.2986,0.2813,0.3068,0.207,0.2386,0.213,0.6635,0.0002,0.0001,0.0696,0.1756,1.8059,1.8312,2.5312,0.3284,4.7579
220,0.0211,0.3,0.2886,0.3047,0.2117,0.1735,0.2146,0.6048,0.0002,0.0002,0.0772,0.1734,1.7591,1.7827,2.4903,0.335,4.6727
221,0.0207,0.2957,0.2788,0.3112,0.2096,0.1723,0.2134,0.6004,0.0002,0.0002,0.0647,0.1747,1.7378,1.7609,2.4475,0.3262,4.6003
222,0.0211,0.2967,0.2864,0.3048,0.2025,0.2214,0.2137,0.6429,0.0002,0.0002,0.0748,0.1716,1.7877,1.8114,2.4999,0.3244,4.7057
223,0.0201,0.3172,0.2971,0.3192,0.2048,0.2176,0.2078,0.6361,0.0001,0.0002,0.0808,0.1914,1.8582,1.8809,2.4795,0.3298,4.7554
224,0.0232,0.1779,0.3006,0.3212,0.2016,0.1777,0.2007,0.5851,0.0003,0.0001,0.0752,0.1639,1.6386,1.6665,4.3654,0.5241,6.6344
225,0.0208,0.3125,0.2961,0.3165,0.2106,0.2119,0.2126,0.6398,0.0002,0.0002,0.0589,0.1887,1.8268,1.8507,2.4461,0.3225,4.6863
226,0.0204,0.2986,0.2864,0.3087,0.2067,0.1719,0.2153,0.5985,0.0002,0.0001,0.0667,0.1634,1.7343,1.7573,2.4755,0.3254,4.6231
227,0.0199,0.299,0.2824,0.303,0.2023,0.2106,0.2156,0.6329,0.0002,0.0001,0.0662,0.1726,1.7671,1.7895,2.5104,0.3263,4.6906
228,0.0196,0.2948,0.2988,0.3046,0.2116,0.1698,0.2147,0.6015,0.0002,0.0002,0.075,0.1717,1.7625,1.7848,2.493,0.329,4.6724
