,Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
263,0.0211,0.2733,0.3213,0.2064,0.1706,0.2129,0.5935,0.0002,0.0002,0.0661,0.1777,1.4414,1.4649,2.4417,0.3176,4.2954
264,0.0201,0.1486,0.3572,0.2059,0.1745,0.2116,0.599,0.0002,0.0002,0.0705,0.1798,1.3666,1.3907,4.042,0.5079,6.0123
265,0.0192,0.282,0.3509,0.2126,0.1814,0.223,0.6223,0.0002,0.0002,0.0755,0.1684,1.51,1.5317,4.2882,0.5127,6.4069
266,0.0207,0.2785,0.3529,0.2155,0.1836,0.223,0.6284,0.0001,0.0002,0.0703,0.1784,1.5267,1.5504,3.5443,0.3131,5.484
267,0.0188,0.2927,0.3489,0.2167,0.1893,0.219,0.6309,0.0002,0.0001,0.0666,0.1792,1.5352,1.5568,2.4138,0.3155,4.3606
268,0.0193,0.2701,0.3266,0.2064,0.1767,0.2209,0.6119,0.0003,0.0001,0.0849,0.1788,1.4868,1.509,2.4357,0.3117,4.3309
269,0.0196,0.2754,0.3278,0.2095,0.1852,0.221,0.6253,0.0002,0.0001,0.0866,0.1871,1.518,1.5405,2.4733,0.3164,4.4019
270,0.0187,0.2691,0.2984,0.2055,0.1744,0.2206,0.6036,0.0001,0.0002,0.065,0.1683,1.4117,1.4329,2.4087,0.3146,4.2267
271,0.0205,0.2673,0.2985,0.2061,0.2198,0.218,0.6467,0.0001,0.0001,0.064,0.1625,1.4461,1.4687,2.4007,0.3117,4.2515
272,0.0186,0.2449,0.339,0.2028,0.1687,0.2085,0.5831,0.0002,0.0001,0.0638,0.1784,1.4205,1.4431,3.7071,0.3967,5.6197
273,0.0195,0.2829,0.3482,0.2092,0.1745,0.2198,0.6111,0.0003,0.0002,0.0803,0.1764,1.5153,1.5375,2.513,0.3139,4.4363
274,0.0192,0.2738,0.3405,0.213,0.1805,0.2227,0.6251,0.0003,0.0002,0.0706,0.1665,1.489,1.5111,2.501,0.3102,4.3939
275,0.0189,0.2826,0.3398,0.2225,0.1827,0.2253,0.6384,0.0002,0.0001,0.0647,0.1782,1.5188,1.5405,2.7128,0.3152,4.6433
276,0.0187,0.2805,0.3517,0.213,0.1919,0.2243,0.6353,0.0003,0.0001,0.079,0.1777,1.5367,1.5584,2.4156,0.3172,4.3631
277,0.0188,0.2716,0.3264,0.2181,0.1865,0.2235,0.6339,0.0002,0.0002,0.0694,0.1851,1.5052,1.5267,2.444,0.3111,4.3529
278,0.0187,0.2779,0.3379,0.2137,0.1749,0.2206,0.6177,0.0002,0.0001,0.0687,0.1742,1.4915,1.5129,2.4318,0.313,4.3286
279,0.0185,0.2751,0.3435,0.21,0.1783,0.228,0.6253,0.0003,0.0002,0.0683,0.1784,1.5062,1.5275,2.3895,0.3083,4.2965
280,0.0245,0.2571,0.3677,0.206,0.1806,0.2097,0.6012,0.0002,0.0002,0.0849,0.178,1.5078,1.537,3.218,0.3237,5.1626
281,0.02,0.2958,0.3508,0.208,0.2485,0.2198,0.6847,0.0002,0.0002,0.0635,0.1689,1.5768,1.5998,2.5309,0.322,4.5302
282,0.0204,0.2786,0.3458,0.217,0.1838,0.2189,0.6264,0.0002,0.0002,0.0843,0.1693,1.5188,1.5421,2.5547,0.314,4.4862
283,0.0201,0.273,0.3378,0.2162,0.184,0.2135,0.6198,0.0001,0.0001,0.079,0.1851,1.5085,1.5313,2.5645,0.3214,4.4942
284,0.0195,0.3013,0.3419,0.2114,0.238,0.2228,0.6795,0.0002,0.0002,0.0594,0.1811,1.5782,1.6006,2.5675,0.3346,4.5799
285,0.0193,0.2872,0.3479,0.2109,0.1889,0.2151,0.621,0.0002,0.0002,0.0671,0.1802,1.5195,1.5843,2.4595,0.307,4.4265
