,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,Compute neighbours,Copy sorting indexes to CPU,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
183,0.0419,0.3319,1.0369,0.0503,0.0032,0.3152,0.0001,0.0823,0.2126,0.0003,0.4784,1.1605,0.1562,2.7395,23.4341,5.3853,32.0318
184,0.0432,0.2344,1.0453,0.0511,0.002,0.2652,0.0001,0.0847,0.2066,0.0002,0.4486,1.0803,0.152,2.5698,31.106,2.9563,37.0819
185,0.0394,0.3322,1.0735,0.0533,0.0035,0.271,0.0001,0.0794,0.2066,0.0002,0.4793,1.1098,0.1374,2.7059,30.982,5.0686,39.223
186,0.0419,0.3376,1.0488,0.0588,0.0026,0.2867,0.0001,0.081,0.2143,0.0002,0.4855,1.1486,0.1436,2.7307,28.9801,2.9552,35.1353
187,0.0337,0.3182,1.023,0.0503,0.0017,0.2694,0.0001,0.0702,0.2071,0.0001,0.4744,1.0817,0.1455,2.6085,25.9054,2.9405,31.9314
188,0.0271,0.3908,1.0147,0.0546,0.0015,0.2674,0,0.07,0.2047,0.0001,0.473,1.0796,0.1298,2.6482,32.638,2.9086,38.6736
189,0.0272,0.3666,1.0606,0.0542,0.0016,0.273,0.0001,0.0948,0.212,0.0002,0.4723,1.1325,0.1433,2.747,22.1759,2.8845,28.2801
190,0.0393,0.4039,1.0487,0.0608,0.0033,0.2838,0.0001,0.0752,0.2135,0.0003,0.4879,1.1427,0.1553,2.805,22.3958,2.9107,28.589
191,0.0413,0.3206,1.0246,0.0576,0.0015,0.2612,0.0001,0.074,0.2074,0.0001,0.4754,1.0892,0.1518,2.639,22.562,2.9068,28.5696
192,0.0381,0.2295,1.0562,0.0597,0.0015,0.2658,0.0001,0.0917,0.1993,0.0002,0.4703,1.0985,0.144,2.5794,30.4469,2.9225,36.3683
193,0.0397,0.2767,1.0374,0.0564,0.002,0.3166,0.0001,0.0724,0.2076,0.0002,0.4714,1.1452,0.145,2.6567,22.4583,2.9185,28.5057
194,0.0344,0.3204,1.0072,0.0525,0.0015,0.3224,0.0001,0.0788,0.2023,0.0002,0.4756,1.1456,0.145,2.6624,22.4945,2.9189,28.5433
195,0.0278,0.3225,1.067,0.0598,0.0051,0.2832,0.0001,0.0793,0.2095,0.0003,0.4749,1.1403,0.158,2.7291,22.8821,2.9268,29.0098
196,0.0428,0.3997,1.0556,0.0575,0.0063,0.3259,0.0001,0.0765,0.2109,0.0002,0.4656,1.1651,0.1604,2.8376,23.0328,2.9114,29.2619
197,0.0421,0.328,1.04,0.0524,0.002,0.3357,0.0001,0.0912,0.2128,0.0002,0.4692,1.1816,0.1443,2.747,22.4426,2.927,28.5902
198,0.0385,0.3209,1.042,0.0531,0.0021,0.3438,0.0001,0.0949,0.2214,0.0002,0.4938,1.2256,0.1406,2.7805,24.2287,2.8991,30.3826
199,0.0414,0.3432,1.0451,0.0556,0.0021,0.2795,0.0001,0.0844,0.213,0.0002,0.4736,1.1296,0.1621,2.7494,22.4222,2.9094,28.5528
