,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
61,2.3593,8.0042,1.0206,11.6008
62,2.3592,7.9903,1.0273,11.5916
63,2.3558,8.7717,1.0278,12.3714
64,3.6344,10.4977,1.058,15.4054
65,2.4927,8.9136,1.0489,12.6813
66,2.4124,8.222,1.0431,11.8984
67,2.3994,8.1524,1.036,11.803
68,2.4261,8.125,1.0328,11.8009
69,2.392,8.0204,1.0225,11.6527
70,2.3731,8.035,1.0366,11.6619
71,2.3851,8.0236,1.0262,11.6522
72,3.5895,10.3869,1.0288,15.2328
73,2.3893,8.1992,1.0298,11.8343
74,2.3707,8.2879,1.1422,12.0237
75,2.38,8.4236,1.0345,12.0556
76,2.4518,8.0751,1.0345,11.7817
77,2.3815,8.0695,1.0326,11.7005
78,2.3922,8.1061,1.0455,11.762
79,3.653,11.5119,1.8318,17.2133
80,3.5322,12.0613,1.7872,17.5985
81,3.4797,12.2019,1.0475,16.948
82,3.0234,10.176,1.0394,14.46
83,2.3981,8.1065,1.0367,11.7586
84,2.3944,8.1642,1.0475,11.8256
85,2.3938,8.1115,1.0755,11.7953
86,2.3781,8.1945,1.0387,11.8276
87,2.4114,8.1154,1.0447,11.7902
88,3.5344,10.459,1.1343,15.3446
89,2.4058,8.1906,1.0452,11.8612
90,2.3956,8.612,1.0461,12.2685
91,2.3809,8.4393,1.0471,12.0947
92,2.4331,8.259,1.0489,11.9588
93,2.4068,8.2348,1.0808,11.9396
94,3.6273,8.1784,1.0603,13.0836
95,2.4157,10.6909,1.0491,14.374
96,3.7806,10.5285,1.0499,15.5841
97,2.455,9.0631,1.8649,13.6087
98,3.6668,8.3587,1.8911,14.1322
99,3.691,8.3622,1.1233,13.3957
100,3.6999,8.2426,1.0641,13.2268
101,2.4153,8.2211,1.2734,12.13
102,2.4452,8.2719,1.0655,11.9966
103,2.4401,8.2876,1.0682,12.0169
104,3.5956,10.9592,1.0592,15.8311
105,2.4269,8.4721,1.0549,12.1747
106,2.43,8.2895,1.0556,11.994
107,2.4298,8.3512,1.059,12.0557
108,2.4092,8.2211,1.0529,11.9006
109,2.4268,8.2678,1.0524,11.9669
110,2.4073,8.2562,1.0577,11.9398
111,2.6362,8.2906,1.0543,12.1977
112,3.7962,11.7472,1.06,16.8292
113,2.4258,10.8284,1.0616,14.5387
114,2.4495,12.5987,1.9228,17.1898
115,3.4079,11.9855,1.0735,16.6838
116,2.4591,8.3696,1.0681,12.1169
117,2.4726,8.2898,1.065,12.0459
118,2.4491,8.246,1.0579,11.9723
119,2.4351,8.2645,1.0611,11.9753
120,3.7282,10.1478,1.056,15.1478
121,2.4313,8.3258,1.1453,12.124
122,2.4203,8.3299,1.0593,12.0286
123,2.4991,8.3617,1.0527,12.1354
124,2.4216,8.2898,1.0576,11.987
125,2.421,8.2732,1.4148,12.3882
126,2.4413,8.3237,1.0654,12.0487
127,2.448,8.2609,1.0664,11.9944
128,3.5071,10.9769,1.0557,15.7578
129,2.5444,8.3626,1.058,12.191
130,2.4286,8.3637,1.0559,12.0678
131,2.4337,8.3246,1.0668,12.0403
132,2.6762,8.259,1.0641,12.2229
133,2.4282,8.2575,1.0706,11.9752
134,2.4233,8.2775,1.0592,11.9765
135,2.4178,8.7913,1.0571,12.4841
136,3.8622,10.186,1.0905,15.364
137,2.5013,8.4899,1.14,12.3585
138,2.4638,8.456,1.0652,12.2068
139,2.4503,8.4163,1.0606,12.1465
140,2.4369,8.3847,1.0722,12.1121
141,2.5221,8.4682,1.0554,12.2587
142,2.4169,8.2304,1.0615,11.9252
143,2.4159,8.2693,1.0583,11.958
144,3.841,9.8338,1.0537,14.9588
145,2.4779,8.2588,1.0556,12.0143
146,2.4159,8.4758,1.0655,12.1763
147,2.4152,8.5721,1.0668,12.2716
148,2.4369,8.2619,1.0605,11.9787
149,2.4242,8.2735,1.0628,11.9809
150,3.6748,8.3781,1.0577,13.333
