Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Overhead,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Overhead,Run hipNSearch,Overhead,neighborhood search,constraint projection,XSPH viscosity computation,Overhead,SimStep
1.428,2.3107,0.8425,8.4363,0.2108,6.559,,15.2101,0.0002,0.0002,0.3152,6.8354,,25.524,,26.9612,566.935,80.6388,,690.576
1.252,1.606,1.0964,8.4499,0.2238,5.276,,13.9542,0.0001,0.0001,0.3488,6.859,,23.8767,,25.1405,566.31,81.3508,,686.324
1.4179,2.1742,0.8672,8.389,0.2248,6.6262,,15.2474,0.0002,0.0001,0.326,6.8602,,25.5021,,26.929,570.299,80.4944,,693.561
1.4424,2.2596,1.1705,7.8789,0.2709,5.4431,,13.6089,0.0002,0.0001,0.332,6.8721,,24.2572,,25.7078,571.152,80.4262,,693.356
1.4516,2.3057,0.9153,8.532,0.2367,6.6775,,15.4565,0.0002,0.0001,0.3146,6.9633,,25.9753,,27.4385,576.755,80.4235,,700.5
1.4175,2.262,1.2184,8.1207,0.2162,5.4972,,13.8422,0.0002,0.0001,0.3252,6.8993,,24.5679,,25.9953,578.119,80.406,,700.337
1.4357,2.1179,0.8583,8.172,0.2605,6.3965,,14.8391,0.0002,0.0001,0.3244,6.9033,,25.0619,,26.5077,575.473,85.9375,,703.991
1.4205,2.3562,1.5384,8.1333,0.2357,5.5452,,13.9259,0.0003,0.0002,0.3151,6.9146,,25.0691,,26.4988,577.429,80.9382,,700.736
1.4328,2.1198,0.866,8.1687,0.2913,6.4443,,14.9156,0.0003,0.0001,0.3145,6.9266,,25.1652,,26.6077,584.834,81,,708.398
1.2715,1.7702,1.0777,8.8309,0.2438,5.0429,,14.1212,0.0001,0.0001,0.3667,6.9572,,24.3054,,25.5862,576.305,80.8753,,696.122
1.4317,2.2685,0.8376,8.2551,0.217,6.4351,,14.9116,0.0002,0.0004,0.3104,6.9524,,25.3001,,26.7418,582.808,81.7604,,707.422
1.4062,2.4137,1.1871,8.7203,0.2055,5.2514,,14.1818,0.0001,0.0001,0.3064,6.9766,,25.0886,,26.5033,588.144,81.3028,,711.764
1.4434,2.1171,0.8378,8.6643,0.2178,6.7461,,15.632,0.0002,0.0002,0.3149,6.9696,,25.8815,,27.3343,584.66,81.429,,709.444
1.4233,2.1576,1.1895,8.1357,0.2782,5.606,,14.0283,0.0003,0.0003,0.3204,6.9822,,24.6964,,26.1277,587.804,81.6302,,711.591
1.4306,2.2599,0.8685,8.8671,0.2317,6.8992,,16.0063,0.0002,0.0002,0.3156,6.9947,,26.4696,,27.9089,585.607,81.4786,,710.805
1.4328,2.5715,1.1711,8.3101,0.2207,5.6517,,14.1932,0.0003,0.0002,0.3218,7.0016,,25.2807,,26.7234,589.272,82.1115,,714.082
1.4435,2.1898,0.8492,8.8372,0.2428,6.8827,,15.9695,0.0003,0.0002,0.3154,7.0207,,26.3644,,27.8175,590.092,82.1219,,715.94
1.2748,1.7734,1.344,8.1788,0.2454,5.5552,,13.9823,0.0002,0.0001,0.3585,7.0298,,24.4966,,25.7824,594.247,82.1724,,715.538
1.4132,2.1415,0.8529,8.801,0.2062,6.8393,,15.8553,0.0003,0.0001,0.3208,7.0426,,26.2374,,27.6607,593.583,84.6155,,721.647
1.4499,2.1504,0.8615,8.7775,0.2527,6.8758,,15.9167,0.0002,0.0002,0.3163,7.0494,,26.3172,,27.7751,594.498,82.7866,,720.923
1.4354,2.2352,1.2022,8.2957,0.2544,5.759,,14.314,0.0002,0.0001,0.3135,7.0533,,25.1338,,26.5785,613.694,82.5595,,738.791
1.4345,2.1814,0.8581,8.9935,0.2394,6.9791,,16.2229,0.0001,0.0002,0.3258,7.0725,,26.6842,,28.1266,603.256,83.0508,,730.329
1.4695,2.347,1.1518,8.7169,0.2229,5.846,,14.7953,0.0003,0.0002,0.323,7.0781,,25.7177,,27.1952,611.002,83.073,,737.176
1.4405,2.1612,0.8526,8.9627,0.2213,6.9688,,16.1579,0.0002,0.0002,0.328,7.0859,,26.6069,,28.0557,602.62,83.1454,,729.775
1.461,2.4203,1.3936,8.4502,0.2954,5.4489,,14.2063,0.0003,0.0002,0.3215,7.0959,,25.4561,,26.9261,601.152,82.9668,,726.958
1.2731,1.7908,1.0706,9.0682,0.2191,5.3657,,14.6562,0.0001,0.0001,0.3523,7.1628,,25.0461,,26.3294,595.668,83.0471,,718.296
1.4223,2.2605,0.8402,9.1395,0.2217,7.0286,,16.3953,0.0001,0.0002,0.3141,7.106,,26.9334,,28.3642,605.699,83.2474,,733.033
1.4299,2.3438,0.8526,9.1564,0.2278,6.9946,,16.3842,0.0003,0.0002,0.316,7.1283,,27.0447,,28.483,606.55,83.1309,,734.042
1.4225,2.4106,1.1628,8.9936,0.2045,5.5229,,14.7254,0.0002,0.0003,0.3133,7.1285,,25.7582,,27.1899,600.125,84.208,,727.313
1.4304,2.2751,0.844,9.21,0.2355,7.0562,,16.5096,0.0002,0.0002,0.3166,7.1588,,27.1286,,28.5668,601.072,83.5545,,728.842
