Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,s,Compute neighbours,Copy sorting indexes to CPU,s,neighborhood search, constraint projection,XSPH viscosity computation,s,SimStep
0.7885,1.709,13.7481,0.0585,0.0024,0.8727,0.0001,0.3149,2.2739,0.0002,6.3887,,9.9251,0.5919,,26.782,562.209,83.5147,,685.652
0.7892,1.6903,12.9319,0.0594,0.0036,1.0252,0.0001,0.3116,2.2948,0.0002,6.4135,,10.1236,0.5913,,26.1447,565.585,78.2418,,683.165
0.7814,1.6879,13.8825,0.0634,0.004,0.822,0.0001,0.3383,2.3019,0.0003,6.411,,9.9649,0.5912,,26.9269,565.71,78.7738,,684.514
0.7911,1.5809,13.0168,0.0659,0.0047,1.0547,0.0001,0.3255,2.3332,0.0002,6.454,,10.263,0.5964,,26.2676,569.282,79.215,,687.846
0.7886,1.7097,13.9906,0.0641,0.0025,0.9414,0.0001,0.3099,2.2719,0.0002,6.4391,,10.0481,0.5942,,27.1541,571.121,79.4364,,691.002
0.7772,1.5566,12.8721,0.0656,0.0042,1.0386,0.0001,0.3176,2.3578,0.0003,6.459,,10.2623,0.5929,,26.0791,576.139,79.2094,,694.721
0.7805,1.0252,12.8201,0.131,0.0036,0.7462,0.0001,0.318,2.2943,0.0001,6.5111,,10.0138,0.5934,,25.2464,567.941,79.0064,,683.196
0.7857,1.528,12.8728,0.0589,0.0023,1.0206,0.0001,0.3097,2.3523,0.0002,6.5003,,10.2927,0.6004,,26.0947,580.526,80.0639,,699.923
0.7863,1.7065,13.7708,0.0566,0.0026,0.8141,0.0002,0.3139,2.3209,0.0001,6.4973,,10.0212,0.5865,,26.8863,577.668,79.8016,,697.44
0.791,1.5521,12.8999,0.074,0.004,1.0447,0.0001,0.3203,2.3698,0.0002,6.5219,,10.3587,0.5938,,26.2138,582.373,80.2445,,702.111
0.7992,1.7459,14.3066,0.0546,0.0038,0.8111,0.0001,0.3074,2.353,0.0002,6.5302,,10.0813,0.5932,,27.545,582.237,80.1688,,703.145
0.785,1.5716,12.9297,0.0697,0.004,1.0092,0.0002,0.3094,2.4426,0.0003,6.5485,,10.407,0.596,,26.305,586.22,80.8842,,706.688
0.793,1.6775,13.8094,0.0568,0.0043,0.8476,0.0001,0.319,2.3701,0.0002,6.5462,,10.167,0.5932,,27.0607,590.577,80.5665,,711.536
0.7871,1.5903,12.9421,0.0611,0.0035,1.0682,0.0002,0.3094,2.4072,0.0003,6.5678,,10.4379,0.5983,,26.3739,587.808,80.7529,,708.127
0.8195,1.0319,13.302,0.0576,0.0036,0.758,0,0.3431,2.3535,0.0001,6.6095,,10.138,0.5977,,25.9008,587.291,81.3706,,705.49
0.7893,1.5805,12.9707,0.059,0.003,1.0821,0.0002,0.3203,2.3918,0.0001,6.5878,,10.4613,0.5896,,26.4073,589.435,81.6723,,710.604
0.7952,1.5586,12.8794,0.0656,0.0043,1.048,0.0001,0.3269,2.4202,0.0002,6.606,,10.4902,0.5973,,26.3412,596.47,82.1069,,718.079
0.7936,1.6931,13.9095,0.0518,0.0039,0.8325,0.0002,0.3618,2.4031,0.0002,6.6309,,10.3074,0.5971,,27.3176,601.536,82.2942,,724.311
0.7876,1.5282,12.7784,0.0749,0.004,1.0261,0.0001,0.3091,2.3961,0.0003,6.6384,,10.4689,0.5925,,26.1755,605.263,82.7006,,727.282
0.7895,1.6682,14.2352,0.0532,0.0067,0.8283,0.0001,0.3178,2.4131,0.0002,6.6437,,10.2843,0.592,,27.5875,603.839,82.2976,,726.904
0.7863,1.5746,12.9917,0.0647,0.006,1.0475,0.0002,0.3366,2.4218,0.0001,6.6602,,10.5602,0.6006,,26.5326,610.982,82.9554,,733.753
0.7855,1.7425,13.8741,0.0678,0.0027,0.8594,0.0001,0.3065,2.4296,0.0002,6.6909,,10.372,0.5888,,27.3792,607.615,83.6025,,731.923
0.904,1.025,13.0981,0.1272,0.0038,0.7496,0,0.3434,2.402,0.0001,6.6962,,10.331,0.6051,,25.9751,603.289,82.8538,,723.048
0.7861,1.5751,13.0266,0.0592,0.0022,1.0469,0.0001,0.3184,2.4414,0.0002,6.6961,,10.5781,0.5885,,26.5722,608.951,83.8256,,732.468
0.7853,1.6936,13.8213,0.0641,0.0043,0.8558,0.0001,0.3106,2.456,0.0003,6.7288,,10.4437,0.5987,,27.3609,616.306,83.7391,,740.558
0.7935,1.5817,13.0159,0.0621,0.005,1.0692,0.0001,0.3083,2.4796,0.0001,6.724,,10.6733,0.5922,,26.6769,612.151,83.9557,,736.011
0.7935,1.5211,12.8748,0.0622,0.0038,1.0552,0.0001,0.3116,2.4503,0.0002,6.8266,,10.7321,0.5968,,26.5368,619.143,84.6313,,743.677
0.7849,1.7233,13.5862,0.0592,0.0025,0.851,0.0001,0.3054,2.421,0.0002,6.7391,,10.3934,0.5942,,27.1026,621.25,84.005,,745.599
0.7913,1.5593,12.8659,0.0616,0.0025,1.063,0.0001,0.3098,2.4767,0.0002,6.7539,,10.6883,0.5925,,26.5135,626.996,84.3461,,751.081
0.791,1.6268,12.8793,0.0622,0.0041,1.0596,0.0001,0.3108,2.462,0.0002,6.7736,,10.6936,0.5993,,26.6072,618.601,84.7693,,743.304
0.7855,1.0267,13.3953,0.0625,0.0037,0.7611,0.0001,0.3421,2.4555,0.0001,6.8191,,10.4538,0.5929,,26.2671,617.355,84.7521,,739.179
0.7851,1.583,12.9628,0.0706,0.0045,1.071,0.0001,0.3186,2.4731,0.0002,6.778,,10.7387,0.594,,26.6825,623.06,85.3672,,748.376
0.7839,1.6207,13.8299,0.0606,0.0039,0.8569,0.0001,0.3083,2.4874,0.0002,6.8039,,10.5459,0.5922,,27.3897,630.985,85.0142,,756.678
0.7807,1.6077,12.6415,0.0587,0.0027,1.0115,0.0001,0.3139,2.4803,0.0002,6.8302,,10.7187,0.5944,,26.3609,630.453,86.0223,,756.146
0.7886,1.6935,13.907,0.0584,0.005,0.8271,0.0001,0.3371,2.5005,0.0003,6.8329,,10.5825,0.5969,,27.589,631.015,85.7708,,757.678
0.7871,1.5762,12.4318,0.0655,0.0031,0.8466,0.0001,0.3079,2.5133,0.0003,6.8336,,10.5916,0.5917,,25.9963,632.736,86.2955,,758.219
0.7948,1.5616,12.7458,0.0619,0.004,1.0488,0.0001,0.314,2.5288,0.0002,6.8499,,10.8304,0.5962,,26.546,632.49,86.2399,,758.445
0.7879,1.7265,14.3253,0.0634,0.0038,0.8328,0.0001,0.3085,2.4961,0.0002,6.8655,,10.5904,0.5934,,28.0407,636.038,87.5012,,764.896
0.7792,1.0418,13.4307,0.0649,0.0034,0.7911,0.0001,0.3059,2.4983,0.0001,6.8663,,10.5388,0.6054,,26.408,633.234,86.0627,,756.55
0.787,1.5507,12.814,0.0597,0.0026,1.0377,0.0001,0.3239,2.5102,0.0003,6.8673,,10.8957,0.5918,,26.6573,635.315,86.5173,,761.589
0.7825,1.7072,14.003,0.0535,0.0042,0.8593,0.0001,0.3255,2.5235,0.0002,6.8873,,10.6736,0.5951,,27.7831,640.501,85.8977,,767.325
0.7929,1.6009,12.5994,0.0594,0.0048,0.8349,0.0001,0.3076,2.5032,0.0002,6.8969,,10.6304,0.5945,,26.2349,641.507,86.4847,,767.369
0.7882,1.5122,13.023,0.063,0.0027,1.1031,0.0001,0.3134,2.554,0.0002,6.9264,,10.9845,0.5975,,26.923,644.291,86.8864,,771.198
0.7803,1.7022,13.6344,0.0521,0.0041,0.8212,0.0002,0.3128,2.5496,0.0002,6.9228,,10.6839,0.589,,27.4093,642.629,86.918,,770.177
0.7921,1.5671,13.0567,0.0602,0.0024,0.8808,0.0001,0.3009,2.5387,0.0001,6.9386,,10.7373,0.5963,,26.7689,645.131,87.055,,772.224
0.789,1.5811,12.9773,0.0592,0.0036,1.0486,0.0002,0.3136,2.5325,0.0001,6.9442,,10.9163,0.6598,,26.9407,664.035,87.3635,,791.5
0.7743,1.0244,13.0236,0.0577,0.0035,0.7657,0.0001,0.3477,2.551,0.0001,6.9975,,10.7326,0.5986,,26.1666,646.972,90.0594,,773.914
0.791,1.7625,13.0962,0.0533,0.004,0.8448,0.0002,0.3076,2.5536,0.0003,6.969,,10.755,0.5923,,27.017,651.583,87.6166,,779.234
0.7918,1.523,12.4689,0.0556,0.004,0.8139,0.0002,0.3072,2.5286,0.0002,6.9758,,10.7101,0.5947,,26.1076,673.082,87.7784,,800.225
0.816,1.5966,13.0525,0.0623,0.0041,1.074,0.0001,0.3112,2.586,0.0002,6.9956,,11.0557,0.5918,,27.1313,661.563,87.6022,,789.674
0.7928,1.541,12.9795,0.0606,0.0043,1.0658,0.0001,0.3108,2.5921,0.0002,7.0053,,11.0602,0.594,,26.9855,661.935,88.1573,,790.028
0.7876,1.6741,14.3386,0.0685,0.0035,0.835,0.0001,0.3101,2.6035,0.0003,7.0359,,10.8819,0.5896,,28.2901,659.972,88.325,,789.686
0.8049,1.5627,12.8324,0.0754,0.0042,1.0681,0.0001,0.3236,2.6124,0.0002,7.0228,,11.1297,0.5975,,26.9432,665.302,88.9967,,794.681
0.7901,1.6857,13.6682,0.0515,0.0061,0.8309,0.0001,0.3077,2.5789,0.0003,7.0389,,10.8362,0.5912,,27.5885,667.195,90.9169,,798.81
0.9238,1.0462,13.1488,0.0654,0.0032,0.7927,0.0001,0.3447,2.6138,0.0002,7.0685,,10.9018,0.602,,26.6345,659.917,91.7358,,789.022
0.791,1.6253,12.9515,0.0623,0.0052,1.066,0.0001,0.3093,2.6115,0.0001,7.0614,,11.1311,0.5913,,27.1047,662.778,88.8706,,791.767
